biztanleria,azalera,udalerriaLabel,lurraldeaLabel
1069,40.45,Cárcar,Nafarroa
146,24,Ezkurra,Nafarroa
242,19,Lezaun,Nafarroa
521,115.03,Otsagabia,Nafarroa
189,31,Jaurrieta,Nafarroa
4163,18.07,Castejón,Nafarroa
303,18.6,Zubieta,Nafarroa
1136,17,Elgeta,Gipuzkoa
512,39.3,Araitz,Nafarroa
488,15,Gabiria,Gipuzkoa
996,22,Fontellas,Nafarroa
8395,7.7,Ortuella,Bizkaia
2412,49.891,Valtierra,Nafarroa
4057,5.26,Orkoien,Nafarroa
8320,48.24,Noain Elortzibar,Nafarroa
2766,80.8,Caparroso,Nafarroa
111,19.26,Eslaba,Nafarroa
220,96.23,Leotz,Nafarroa
4154,13.23,Murchante,Nafarroa
219,5.649,Zugarramurdi,Nafarroa
478,22.5,Elo,Nafarroa
231,19.19,Auritz,Nafarroa
176,59.63,Itzagaondoa,Nafarroa
1235,52.03,Itza,Nafarroa
1536,6.61,Lekunberri,Nafarroa
1529,7.77,Barrika,Bizkaia
346843,41.6,Bilbo,Bizkaia
6122,12.94,Lezo,Gipuzkoa
110,46.7,Xabier,Nafarroa
91,21.42,Garaioa,Nafarroa
43,46.55,Ezporogi,Nafarroa
220,4,Elgorriaga,Nafarroa
2440,53,Funes,Nafarroa
